| Run_ID | Fold_ID | NB_Accuracy | NB_F1 | C45_Accuracy | C45_F1 |
|:------:|:-------:|:-----------:|:-----:|:------------:|:------:|
| 1 | 1 | 0.781 | 0.772 | 0.821 | 0.815 |
| 1 | 2 | 0.774 | 0.765 | 0.814 | 0.809 |
| 1 | 3 | 0.769 | 0.758 | 0.819 | 0.812 |
| 1 | 4 | 0.778 | 0.770 | 0.825 | 0.820 |
| 1 | 5 | 0.772 | 0.761 | 0.811 | 0.804 |
| 1 | 6 | 0.785 | 0.779 | 0.823 | 0.817 |
| 1 | 7 | 0.766 | 0.755 | 0.816 | 0.810 |
| 1 | 8 | 0.771 | 0.763 | 0.820 | 0.814 |
| 1 | 9 | 0.779 | 0.771 | 0.818 | 0.811 |
| 1 | 10 | 0.773 | 0.764 | 0.822 | 0.816 |
| 2 | 1 | 0.780 | 0.771 | 0.819 | 0.813 |
| 2 | 2 | 0.773 | 0.764 | 0.812 | 0.807 |
| 2 | 3 | 0.768 | 0.756 | 0.817 | 0.810 |
| 2 | 4 | 0.777 | 0.769 | 0.823 | 0.818 |
| 2 | 5 | 0.771 | 0.760 | 0.809 | 0.802 |
| 2 | 6 | 0.784 | 0.778 | 0.821 | 0.815 |
| 2 | 7 | 0.765 | 0.754 | 0.814 | 0.808 |
| 2 | 8 | 0.770 | 0.762 | 0.818 | 0.812 |
| 2 | 9 | 0.778 | 0.770 | 0.816 | 0.809 |
| 2 | 10 | 0.772 | 0.763 | 0.820 | 0.814 |
| 3 | 1 | 0.783 | 0.774 | 0.823 | 0.817 |
| 3 | 2 | 0.775 | 0.766 | 0.815 | 0.810 |
| 3 | 3 | 0.770 | 0.759 | 0.820 | 0.813 |
| 3 | 4 | 0.779 | 0.771 | 0.826 | 0.821 |
| 3 | 5 | 0.774 | 0.763 | 0.813 | 0.806 |
| 3 | 6 | 0.786 | 0.780 | 0.825 | 0.819 |
| 3 | 7 | 0.767 | 0.756 | 0.817 | 0.811 |
| 3 | 8 | 0.772 | 0.764 | 0.822 | 0.816 |
| 3 | 9 | 0.780 | 0.772 | 0.819 | 0.812 |
| 3 | 10 | 0.774 | 0.765 | 0.823 | 0.817 |
| 4 | 1 | 0.779 | 0.770 | 0.820 | 0.814 |
| 4 | 2 | 0.772 | 0.763 | 0.813 | 0.808 |
| 4 | 3 | 0.767 | 0.755 | 0.818 | 0.811 |
| 4 | 4 | 0.776 | 0.768 | 0.822 | 0.817 |
| 4 | 5 | 0.770 | 0.759 | 0.810 | 0.803 |
| 4 | 6 | 0.783 | 0.777 | 0.822 | 0.816 |
| 4 | 7 | 0.764 | 0.753 | 0.815 | 0.809 |
| 4 | 8 | 0.769 | 0.761 | 0.819 | 0.813 |
| 4 | 9 | 0.777 | 0.769 | 0.815 | 0.808 |
| 4 | 10 | 0.771 | 0.762 | 0.821 | 0.815 |
